id,"taxonomy","created_at","updated_at"
1,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Unassigned;uncultured crenarchaeote pBA3","2013-08-16 21:12:22","2013-08-16 21:12:22"
2,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Unassigned;uncultured Desulfurococcaceae archaeon","2013-08-16 21:12:22","2013-08-16 21:12:22"
3,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;environmental samples;","2013-08-16 21:12:22","2013-08-16 21:12:22"
4,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaera;","2013-08-16 21:12:22","2013-08-16 21:12:22"
5,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae","2013-08-16 21:12:22","2013-08-16 21:12:22"
6,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Geogemma","2013-08-16 21:12:22","2013-08-16 21:12:22"
7,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Geogemma;","2013-08-16 21:12:22","2013-08-16 21:12:22"
8,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Geogemma;Geogemma indica","2013-08-16 21:12:22","2013-08-16 21:12:22"
9,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Geogemma;Geogemma pacifica","2013-08-16 21:12:22","2013-08-16 21:12:22"
10,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus","2013-08-16 21:12:22","2013-08-16 21:12:22"
11,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;","2013-08-16 21:12:22","2013-08-16 21:12:22"
12,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus","2013-08-16 21:12:22","2013-08-16 21:12:22"
13,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;DSM 5456","2013-08-16 21:12:22","2013-08-16 21:12:22"
14,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;Hyperthermus butylicus","2013-08-16 21:12:22","2013-08-16 21:12:22"
15,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;uncultured Hyperthermus sp.","2013-08-16 21:12:22","2013-08-16 21:12:22"
16,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium","2013-08-16 21:12:22","2013-08-16 21:12:22"
17,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;","2013-08-16 21:12:22","2013-08-16 21:12:22"
18,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;abyssi","2013-08-16 21:12:22","2013-08-16 21:12:22"
19,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;brockii","2013-08-16 21:12:22","2013-08-16 21:12:22"
20,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;environmental samples;","2013-08-16 21:12:22","2013-08-16 21:12:22"
21,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. BIGigoW09","2013-08-16 21:12:22","2013-08-16 21:12:22"
22,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. BIHTY10/11","2013-08-16 21:12:22","2013-08-16 21:12:22"
23,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. HPA-86","2013-08-16 21:12:22","2013-08-16 21:12:22"
24,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. HPA-87","2013-08-16 21:12:22","2013-08-16 21:12:22"
25,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. HSA18","2013-08-16 21:12:22","2013-08-16 21:12:22"
26,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. HSA19","2013-08-16 21:12:22","2013-08-16 21:12:22"
27,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. HSA20","2013-08-16 21:12:22","2013-08-16 21:12:22"
28,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. IS10-2","2013-08-16 21:12:22","2013-08-16 21:12:22"
29,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus sp. JCM 8979","2013-08-16 21:12:22","2013-08-16 21:12:22"
30,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;Halococcus thailandensis","2013-08-16 21:12:22","2013-08-16 21:12:22"
31,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;hamelinensis","2013-08-16 21:12:22","2013-08-16 21:12:22"
32,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;morrhuae","2013-08-16 21:12:22","2013-08-16 21:12:22"
33,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;qingdaonensis","2013-08-16 21:12:22","2013-08-16 21:12:22"
34,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;saccharolyticus","2013-08-16 21:12:22","2013-08-16 21:12:22"
35,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;salifodinae","2013-08-16 21:12:22","2013-08-16 21:12:22"
36,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;thailandensis","2013-08-16 21:12:22","2013-08-16 21:12:22"
37,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;turkmenicus","2013-08-16 21:12:22","2013-08-16 21:12:22"
38,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;uncultured Halococcus sp.","2013-08-16 21:12:22","2013-08-16 21:12:22"
39,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax","2013-08-16 21:12:22","2013-08-16 21:12:22"
40,"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax;","2013-08-16 21:12:22","2013-08-16 21:12:22"
41,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DH-6","2013-08-16 21:12:22","2013-08-16 21:12:22"
42,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DH2001","2013-08-16 21:12:22","2013-08-16 21:12:22"
43,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DH24-2","2013-08-16 21:12:22","2013-08-16 21:12:22"
44,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DH27-2","2013-08-16 21:12:22","2013-08-16 21:12:22"
45,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DH38-2","2013-08-16 21:12:22","2013-08-16 21:12:22"
46,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DH93-2","2013-08-16 21:12:22","2013-08-16 21:12:22"
47,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DhA-51","2013-08-16 21:12:22","2013-08-16 21:12:22"
48,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DhA-91","2013-08-16 21:12:22","2013-08-16 21:12:22"
49,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DHHS2","2013-08-16 21:12:22","2013-08-16 21:12:22"
50,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DHS3Y","2013-08-16 21:12:22","2013-08-16 21:12:22"
51,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. DHT2","2013-08-16 21:12:22","2013-08-16 21:12:22"
52,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. dI1","2013-08-16 21:12:22","2013-08-16 21:12:22"
53,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. dI14","2013-08-16 21:12:22","2013-08-16 21:12:22"
